x_h2,P0_bar,tau
0.0,1.0,0.20041354749762297
0.0,10.0,0.01698065881154751
0.0,25.0,0.00610088641385696
0.5,1.0,0.002001326567520651
0.5,10.0,0.0011536833700099163
0.5,25.0,0.0009593835435485466
1.0,1.0,8.701734268664569e-05
1.0,10.0,0.0008342192330525392
1.0,25.0,0.0006642802543237343
