x_h2,P_bar,Su
0.0,1.0,0.3870217181843479
0.0,3.0,0.24798325216282108
0.0,6.0,0.17734152630107494
0.5,1.0,0.6095110720200851
0.5,3.0,0.3960718671824282
0.5,6.0,0.2845091604908268
1.0,1.0,2.34033683574178
1.0,3.0,2.1583549384880447
1.0,6.0,1.8168947036480199
